,会社名,タイトル,初年度年収,掲載終了予定日
0,株式会社ミュゼプラチナム | *＊転勤なし／原則定時退社／コスメ社割／全身美容脱毛0円＊*,【エステティシャン】★未経験歓迎★学歴・年齢不問★ノルマなし 正社員,350万円～450万円,掲載終了予定日： 2021/09/02
1,株式会社ミュゼプラチナム | ★週休3日もOK★転勤なし★美容脱毛0円★コスメ社割★WEB面接1回,【美容カウンセラー】*賞与年4回*年齢不問*接客の経験者募集 正社員,350万円～450万円,掲載終了予定日： 2021/09/02
2,株式会社ダンデライン | 完全週休3日or2日制☆インセン&年4回昇給チャンス有☆月40万～可,☆未経験歓迎☆【プロモーションスタッフ】最大年間休日164日 正社員,400万円～600万円,掲載終了予定日： 2021/08/09
3,株式会社LOHASTYLE | #MAX年休156日 #産育休の実績あり ＃平均年齢26歳 #残業15h以下,＼週3休みも選べる／【内勤営業】#Webマーケにも◎ 正社員,250万円～700万円,掲載終了予定日： 2021/08/30
4,株式会社ヨドバシカメラ | ◇正社員比率96.4%◇残業代100%(1分単位)支給◇社員割引制度有◇,◆正社員採用◆【配送スタッフ】★週休3日や週休4日も選べる 正社員,300万円～500万円,掲載終了予定日： 2021/07/26
5,コムテックスソリューションズ株式会社 | <スターティングメンバー募集>★エンジニアのプロ集団を目指す！,自社開発・元請100％【 ITエンジニア 】週休3日制＆フレックスOK 正社員,480万円～840万円,掲載終了予定日： 2021/09/23
6,テレック株式会社 | 土日祝休みOK／産・育休完備／入社2年目で月給34万円も可能,【受付】★週休3日・年休156日・原則定時退社・月給23万円以上★ 正社員,350万円～550万円,掲載終了予定日： 2021/08/23
7,三井不動産商業マネジメント株式会社 | 【三井不動産グループ】★完全週休2日制★年間休日121日,総合職（「ららぽーと」など有名商業施設の企画・運営・管理） 正社員,,掲載終了予定日： 2021/07/22
8,株式会社ミュゼプラチナム | ★週休3日もOK★コスメ社割／全身美容脱毛0円★WEB面接1回,【受付カウンセラー】未経験歓迎★34歳までの方限定★賞与年4回 正社員,350万円～450万円,掲載終了予定日： 2021/07/19
9,医療法人社団上桜会 | 【心療内科「ゆうメンタルクリニック」8院運営】★WEB面接実施中,未経験から医療デビュー！【受付事務スタッフ】★未経験9割 正社員,250万円～400万円,掲載終了予定日： 2021/07/26
10,株式会社センス | ★未経験からでも年収1000万円超の先輩が活躍中★100％面接保証,【営業系総合職】週休3日／月末5連休などユニークな働き方も◎ 正社員,350万円～800万円,掲載終了予定日： 2021/07/22
11,イワタニコールセンター株式会社 | 正社員登用あり/東証一部グループ企業/大阪府緊急雇用対策に賛同,★年間休日120～150日★残業ほぼなし！【カスタマーサポート】 契約社員,200万円～300万円,掲載終了予定日： 2021/07/26
12,株式会社ハンナ | 普通免許があれば応募OK！収入・働く環境などカスタマイズできる,業界をリードする優良会社で活躍【ドライバー】月収40万円超も可 正社員,,掲載終了予定日： 2021/07/29
13,レイス株式会社 | 国内TOPクラスの総合コンサルティング会社,【営業】企業経営者が抱える様々な課題に対して解決手段を企画！ 正社員,450万円～1050万円,掲載終了予定日： 2021/09/13
14,フューチャーアーキテクト株式会社,女性が活躍中【アーキテクト/ITコンサルタント(金融分野)】 正社員,500万円～1000万円,掲載終了予定日： 2021/08/09
15,株式会社pocoApoco | 札幌市内・転勤無し・賞与昨年実績5.0ヵ月分の好待遇介護職,直行直帰OK！週休３日可能！【札幌の訪問介護スタッフ】 正社員,,掲載終了予定日： 2021/09/02
16,株式会社ファーストエージェント | 新しい働き方×納得のいく報酬を実現！1年目で年収1000万円可能,スタートアップメンバー募集！【不動産エージェント】副業OK 業務委託,400万円～2000万円,掲載終了予定日： 2021/08/26
17,株式会社タケル | 「牛角」などのFC・直営・デリバリー店舗を都内に7店舗展開,【店長／マネージャー候補】月給30万円～＆同業からの転職者多数 正社員,360万円～500万円,掲載終了予定日： 2021/08/26
18,株式会社ベルクリック | <全員面接>年休127日／服装髪型自由／週休3日orキャリアアップ,未経験歓迎！【カスタマーサポート】★残業なし ★土日休みもOK 正社員,,掲載終了予定日： 2021/08/23
19,株式会社明光設備 | 41年の歴史を誇る老舗企業の安定基盤で活躍できる／面接1回,【点検スタッフ】◆未経験大歓迎◆チーム制で安心◆賞与年3回 正社員,350万円～600万円,掲載終了予定日： 2021/08/23
20,株式会社ヨドバシカメラ | 業界異例の正社員比率96.4% ★福利厚生も大手ならでは！,ヨドバシを縁の下で支える【物流総合職】★第二新卒・未経験歓迎 正社員,300万円～500万円,掲載終了予定日： 2021/07/19
21,株式会社サミット | ノルマ・飛び込みナシ＆年間休日110日以上★駅チカ＆利便性抜群,週休3日制も可★20代・年収1000万円の先輩も！【不動産営業】 正社員,400万円～1000万円,掲載終了予定日： 2021/08/12
22,株式会社東京トランスポーター | ◆完全週休2日◆基本定時退社◆面接1回＆WebもOK！,16時に帰れる！地域配送の【ルートドライバー】★未経験歓迎★ 正社員,350万円～500万円,掲載終了予定日： 2021/07/29
23,医療法人社団ナイズ | 8拠点でクリニックを展開＊365日運営・IT活用等新しい医療で注目,【小児科 医療事務のリーダー候補】未経験からキャリアチェンジ 正社員,,掲載終了予定日： 2021/07/22
24,株式会社サンゲル | 注目を集めるエコ商材を扱うスタートアップ企業｜残業少なめ,未経験から年収1000万超も可能【営業】★週休3日制で働きやすい 正社員,400万円～600万円,掲載終了予定日： 2021/07/22
25,Skywork株式会社 | 服装カジュアル/WeWork勤務/テレワーク可/メディア運営,人事コンサルティングのアシスタント 正社員,350万円,掲載終了予定日： 2021/07/22
26,イオングリーン電力株式会社 | ★新拠点の立ち上げに携わるチャンスも★ 平均月収50万円,月給30.5万円以上★未経験OK【 営業マネージャー(管理責任者) 】 正社員,400万円～600万円,掲載終了予定日： 2021/08/26
27,株式会社ホワイト・ストーン | ◎未経験OK！先輩は全員未経験からスタートしています！,UR賃貸【ハウジングアドバイザー】★完全週休二日★基本定時退社 正社員,240万円～260万円,掲載終了予定日： 2021/08/26
28,合同会社YourEdge | 【大阪府緊急雇用対策に賛同】◎完全週休2日制　◎年間休日120日,人気急上昇中！駐車場シェアリングアプリ<akippa>の【提案営業】 正社員,,掲載終了予定日： 2021/09/13
29,株式会社シーズ | シーズポスティングサービス/有名企業と多数取引/WEB面接,【サーバーエンジニア】週休3日も可★月給35万円～★若手活躍中 正社員,300万円～500万円,掲載終了予定日： 2021/08/09
30,第一ビニール株式会社 | 半世紀以上ガーデニングや家庭菜園を支えてきたメーカーです,＜年間休日150日、週休3日制！＞で働ける【機械オペレーター】 正社員,300万円～400万円,掲載終了予定日： 2021/08/26
31,株式会社ホテル・アルファーワン尾道 | 遠方からのUIターンは★家賃全額補助★残業ほぼ無し！,サービス業だけど残業がない働き方！【ホテルフロントスタッフ】 正社員,,掲載終了予定日： 2021/10/07
32,株式会社ソレイユ・リビング・テック | Panasonicのリフォーム専門店【リファイン新松戸】,【リノベーションコーディネーター】★実働6.5H／週休3日もOK 正社員,280万円～350万円,掲載終了予定日： 2021/09/27
33,有限会社マサトモ | 地域に愛される姉ヶ崎どうぶつ病院◆ペット治療費割引あり,動物病院の【受付】月休10日以上◆賞与あり◆未経験OK 正社員,,掲載終了予定日： 2021/08/30
34,株式会社SpaceEstate | ムリなく働ける♪【フルリモートワーク /フルフレックス】,高い自由度&圧倒的に稼げるチャンス【営業スタッフ】★週休3日制 正社員,300万円～5000万円,掲載終了予定日： 2021/08/30
35,株式会社リグランツ | 「とある工務店」が業績好調｜転勤無｜大阪府緊急雇用対策に賛同,経験者優遇！リフォームの【外装・内装施工管理】前職給与を考慮 正社員,,掲載終了予定日： 2021/08/09
36,医療法人社団高輪会 | ◆残業代1分単位で支給 ◆休日は火・日＋他1日の週3日,★女性活躍中★【歯科アシスタント(歯科助手/受付)】未経験OK♪ 正社員,,掲載終了予定日： 2021/08/05
37,互信ホールディングス株式会社 | ★マイカー通勤OK★5連休も可★賞与年2回★20～60代活躍中,【タクシードライバー】★面接保証★80％以上が未経験スタート！ 契約社員,390万円～400万円,掲載終了予定日： 2021/08/26
38,株式会社ケーシーエス | 未経験OK/完全週休2日/月収45万円も可/普通免許があれば応募OK！,＼働き方が選べる！／【総合職(ドライバー・メンテナンス)】 正社員,,掲載終了予定日： 2021/08/26
39,関西不動産販売株式会社 | ＊女性比率47％／ワークライフバランスを大事にできる会社です＊,未経験OK！【事務スタッフ】完全週休2日／20～30代が活躍中♪ 正社員,,掲載終了予定日： 2021/08/02
40,イオンリチウムエナジー株式会社 | ◆新拠点が続々OPEN！立ち上げメンバーとして活躍するチャンスも,稼ぎたい方必見！年収1000万円越えも目指せる！【 反響営業 】 正社員,500万円～800万円,掲載終了予定日： 2021/07/19
41,株式会社Sun.gy | 【経験者は月給35万円以上】【大阪府緊急雇用対策に賛同】,Panasonic等の商材の【完全反響営業】※完全週休2日制 正社員,500万円～600万円,掲載終了予定日： 2021/08/12
42,遠東石塚グリーンペット株式会社 | 女性も活躍中！将来性のある当社でキャリアを積んでみませんか。,未経験から挑戦できる【倉庫物流管理スタッフ】 正社員,350万円～500万円,掲載終了予定日： 2021/08/09
43,遠東石塚グリーンペット株式会社 | 残業時間は年間で20時間以下！毎月7連休あり！,年休180日以上も可能！【設備メンテナンス】◆経験者歓迎！ 正社員,,掲載終了予定日： 2021/07/26
